face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
fbhm_faces/41538_face0.png,Middle Eastern,White,Male,60-69,"[4.0455481e-01 1.4586564e-03 2.3799166e-02 3.2951113e-05 1.9923547e-04
 1.9267593e-02 5.5068761e-01]",[9.9382067e-01 5.0444338e-05 2.5577367e-05 6.1033568e-03],[9.9988377e-01 1.1620172e-04],"[1.8103934e-05 7.8329813e-06 2.6677037e-04 1.0061031e-03 3.1238103e-03
 2.7451428e-02 3.5921976e-01 5.5680633e-01 5.2099779e-02]"
fbhm_faces/92375_face0.png,Indian,Indian,Male,70+,"[2.1163074e-04 8.9589670e-02 2.3906729e-03 5.8942165e-05 2.8476631e-03
 8.9631408e-01 8.5873734e-03]",[2.2746359e-04 4.7553774e-02 1.5604816e-03 9.5065832e-01],[9.9984831e-01 1.5170944e-04],"[1.4398908e-06 3.5176979e-06 1.3400955e-05 3.8645470e-05 5.6062239e-05
 2.8943366e-04 5.7733655e-03 3.6302087e-01 6.3080323e-01]"
fbhm_faces/70395_face1.png,Black,Black,Male,20-29,"[2.6033798e-04 9.9782294e-01 2.9678780e-04 2.3871167e-05 3.0862441e-04
 1.2668537e-03 2.0536576e-05]",[5.6165503e-05 9.9928921e-01 6.2958810e-05 5.9177040e-04],[0.99577504 0.00422499],"[3.80837264e-05 1.45374667e-02 1.47986531e-01 7.14461923e-01
 1.16648205e-01 6.06767368e-03 2.39461689e-04 1.66111913e-05
 4.04450748e-06]"
fbhm_faces/09263_face0.png,Middle Eastern,Indian,Male,30-39,"[1.1245753e-01 6.6969511e-03 1.9484974e-01 1.7815815e-05 2.5722696e-04
 1.8814696e-01 4.9757379e-01]",[0.02152727 0.03674614 0.00596592 0.9357606 ],[9.9999720e-01 2.7828803e-06],"[1.04629017e-07 1.28541524e-06 1.99933726e-04 1.04942925e-01
 8.01402032e-01 9.27478150e-02 6.96583011e-04 9.09250775e-06
 1.49667898e-07]"
fbhm_faces/23968_face0.png,White,White,Male,3-9,"[9.9628890e-01 3.3990344e-07 7.4110896e-04 2.0419722e-03 6.9089765e-05
 1.8983260e-06 8.5675780e-04]",[9.9947304e-01 6.6732641e-06 4.1738918e-04 1.0293017e-04],[9.9978822e-01 2.1179739e-04],"[7.9771876e-04 9.6697503e-01 3.2108758e-02 7.1290808e-05 3.9910468e-05
 6.2897770e-06 7.8776867e-07 1.5712435e-07 2.9159008e-08]"
fbhm_faces/37580_face4.png,White,White,Male,30-39,"[9.9991137e-01 7.7524992e-06 3.7132162e-05 1.5984820e-07 5.2185624e-07
 1.1012318e-05 3.2113796e-05]",[9.9916500e-01 3.5456024e-04 1.4311265e-05 4.6610847e-04],[9.9931836e-01 6.8166270e-04],"[4.3825409e-07 8.8903898e-06 2.4868234e-04 1.2415415e-01 6.3621342e-01
 2.2445707e-01 1.4680702e-02 2.0361439e-04 3.3011886e-05]"
fbhm_faces/46783_face1.png,White,White,Male,60-69,"[9.7106391e-01 3.0114486e-05 1.8123987e-03 1.2242298e-04 2.7282044e-04
 1.7827624e-04 2.6519990e-02]",[9.9650800e-01 7.5048760e-05 5.8060972e-04 2.8364214e-03],[9.9961323e-01 3.8673807e-04],"[3.4725711e-06 3.1068269e-06 3.1855470e-05 6.0014645e-05 4.1474277e-04
 8.1012771e-03 2.5176749e-01 6.2628764e-01 1.1333038e-01]"
fbhm_faces/46910_face4.png,White,White,Male,60-69,"[8.7950027e-01 7.2883042e-03 3.9083872e-02 5.5344275e-04 4.8953987e-04
 5.9241457e-03 6.7160331e-02]",[0.9957836  0.00154061 0.00126131 0.00141449],[9.9992067e-01 7.9344303e-05],"[9.5891414e-07 5.3012963e-07 1.8331219e-05 3.3154580e-04 2.2306764e-03
 3.5770684e-02 4.1303384e-01 5.3495663e-01 1.3656721e-02]"
fbhm_faces/67021_face1.png,Latino_Hispanic,Indian,Male,20-29,"[0.02640454 0.02015856 0.85482484 0.0014581  0.01193162 0.06277123
 0.022451  ]",[0.16671667 0.14594755 0.1673146  0.5200212 ],[9.9999958e-01 4.5877653e-07],"[3.95176500e-07 9.78430398e-06 1.44797405e-02 7.60799646e-01
 2.08025217e-01 1.61980614e-02 4.43254889e-04 4.33343157e-05
 5.57307885e-07]"
fbhm_faces/28507_face1.png,Latino_Hispanic,White,Female,30-39,"[3.8009667e-01 3.9248005e-04 4.9052757e-01 3.4750745e-02 8.1457026e-02
 2.3287195e-03 1.0446762e-02]",[0.7102273  0.00419396 0.284117   0.00146166],[0.01334357 0.9866564 ],"[1.8515964e-07 9.6286431e-06 4.2049326e-03 2.0157644e-01 5.0062430e-01
 2.7545816e-01 1.7770721e-02 3.5403797e-04 1.5785828e-06]"
fbhm_faces/96015_face1.png,White,White,Female,40-49,"[9.9613029e-01 3.5821772e-06 1.2348178e-03 2.1224423e-06 3.2855294e-06
 9.7331431e-05 2.5284977e-03]",[9.9027824e-01 1.4786613e-03 4.0409662e-04 7.8389999e-03],[2.827270e-05 9.999717e-01],"[1.4244904e-07 3.0283948e-06 5.0168857e-04 5.6754272e-02 3.4243548e-01
 4.6679062e-01 1.2908526e-01 4.2940178e-03 1.3555354e-04]"
fbhm_faces/61205_face0.png,Black,Black,Male,60-69,"[7.6342913e-06 9.9236906e-01 1.2510401e-04 2.0180090e-05 2.3471647e-04
 7.2422847e-03 1.0576080e-06]",[6.4240907e-05 9.8615187e-01 2.1431108e-04 1.3569597e-02],[0.9296181  0.07038192],"[4.6618138e-06 2.2336302e-05 6.8810761e-05 4.2277429e-04 5.0216643e-03
 6.7541778e-02 3.9455825e-01 4.3654713e-01 9.5812604e-02]"
fbhm_faces/39624_face0.png,White,White,Female,20-29,"[9.5935637e-01 9.3877687e-05 2.2435470e-02 1.2202841e-04 1.1086973e-04
 2.3033565e-04 1.7650997e-02]",[0.9867766  0.00616158 0.00171425 0.00534761],[0.00242581 0.9975742 ],"[3.6331539e-06 1.2050335e-04 1.0323192e-02 4.8729426e-01 4.2881650e-01
 6.9282316e-02 3.9461548e-03 2.0798069e-04 5.4729130e-06]"
fbhm_faces/67980_face0.png,Black,Black,Female,30-39,"[1.2517227e-04 9.9408418e-01 4.0518628e-03 9.7723450e-06 9.2689916e-05
 1.6295469e-03 6.8313534e-06]",[7.4750819e-04 9.9801522e-01 1.5459396e-04 1.0827669e-03],[8.941053e-05 9.999106e-01],"[4.2391213e-07 3.8771555e-05 4.7119688e-03 2.8844798e-01 5.8009952e-01
 1.2012924e-01 6.4520100e-03 1.1872142e-04 1.4063910e-06]"
fbhm_faces/43910_face0.png,White,White,Male,40-49,"[8.9268553e-01 3.5313796e-03 8.3914332e-02 8.2283810e-04 9.9577871e-04
 9.4231730e-04 1.7107697e-02]",[0.99155974 0.00154793 0.00516678 0.00172555],[0.67662686 0.3233731 ],"[2.6863680e-05 1.6251250e-04 4.7953790e-03 7.2530486e-02 1.8700761e-01
 3.8241211e-01 2.9800504e-01 5.0692622e-02 4.3674558e-03]"
fbhm_faces/09187_face0.png,Black,Black,Male,40-49,"[4.9937953e-04 9.7225922e-01 1.6072575e-02 1.9491081e-03 7.8836586e-03
 1.2682015e-03 6.7865854e-05]",[0.00651122 0.9126292  0.07845002 0.00240954],[0.96143734 0.03856266],"[7.5381076e-06 1.7601305e-05 2.5193815e-04 9.2872037e-03 7.3929943e-02
 4.8421094e-01 3.6395884e-01 6.2736839e-02 5.5991192e-03]"
fbhm_faces/19406_face0.png,White,White,Male,60-69,"[9.8100704e-01 7.5386897e-06 3.4190859e-03 6.3599953e-05 4.0097468e-05
 6.9353438e-05 1.5393325e-02]",[9.9970818e-01 3.5326161e-06 2.5150282e-04 3.6795140e-05],[0.9296364  0.07036358],"[8.4677304e-04 1.8688412e-03 2.2881189e-03 2.3794746e-04 9.1308332e-04
 1.0678299e-02 2.2468919e-01 5.3515536e-01 2.2332241e-01]"
fbhm_faces/87190_face0.png,Middle Eastern,Indian,Male,10-19,"[2.1113430e-03 2.3942681e-04 9.4086602e-03 4.4321496e-05 1.3309674e-04
 1.8073017e-03 9.8625588e-01]",[0.35738167 0.01724408 0.07561223 0.54976207],[0.74818695 0.25181302],"[6.4024054e-05 4.5763004e-01 5.0849628e-01 3.1789344e-02 1.8217575e-03
 1.9324415e-04 4.5211277e-06 7.6101855e-07 9.3216997e-08]"
fbhm_faces/79652_face5.png,White,White,Female,30-39,"[9.9350476e-01 3.5697643e-03 1.3385437e-03 5.9248032e-07 2.8079212e-06
 2.9379953e-04 1.2898870e-03]",[9.5197034e-01 4.4946346e-02 4.3321180e-04 2.6500481e-03],[0.00307173 0.9969282 ],"[1.20191487e-06 3.63213512e-05 8.67201888e-04 7.31732324e-02
 5.00199616e-01 3.41953337e-01 8.09636787e-02 2.69924337e-03
 1.06164705e-04]"
fbhm_faces/73164_face0.png,White,White,Male,40-49,"[7.9590237e-01 5.0693456e-02 9.9263377e-02 2.7980126e-04 6.8417710e-04
 1.8399086e-02 3.4777712e-02]",[0.5618702  0.21321784 0.00141904 0.22349292],[9.998941e-01 1.059675e-04],"[4.7315457e-06 1.4968816e-05 1.7586481e-04 1.3590720e-02 3.4972930e-01
 5.8049411e-01 5.5168439e-02 8.0686389e-04 1.5089268e-05]"
fbhm_faces/06213_face2.png,White,White,Male,40-49,"[9.7312665e-01 2.4495797e-05 6.4717527e-03 8.2910908e-03 4.8059528e-03
 2.2904500e-03 4.9896454e-03]",[9.8750305e-01 4.1340765e-05 7.7540483e-03 4.7015906e-03],[9.9945110e-01 5.4887804e-04],"[5.0298477e-06 5.0286530e-05 3.5122132e-03 1.7808869e-01 3.1453308e-01
 3.7213564e-01 1.2442824e-01 7.0646689e-03 1.8216534e-04]"
fbhm_faces/43521_face0.png,White,White,Male,40-49,"[9.2347783e-01 1.3338169e-04 1.6505672e-02 1.9648924e-04 5.6827010e-04
 4.2397627e-03 5.4878708e-02]",[9.5753306e-01 1.2417964e-03 3.9571073e-04 4.0829312e-02],[9.995546e-01 4.454361e-04],"[3.3669664e-06 6.4264736e-06 8.4101426e-05 1.5420833e-03 6.8108693e-02
 6.2242264e-01 2.9759616e-01 9.9388836e-03 2.9762537e-04]"
fbhm_faces/92478_face0.png,White,White,Male,20-29,"[9.9975848e-01 9.9404306e-06 2.0141319e-04 1.0598061e-06 3.7115196e-06
 2.9359824e-06 2.2461378e-05]",[9.9962264e-01 2.4349771e-04 1.1080659e-04 2.3029752e-05],[9.9964911e-01 3.5083108e-04],"[3.6173407e-08 1.4251323e-05 1.7608356e-02 9.1742414e-01 6.3995615e-02
 9.4734255e-04 1.0073279e-05 1.7396418e-07 2.2678055e-08]"
fbhm_faces/30942_face5.png,White,White,Male,50-59,"[9.9380934e-01 6.6841574e-05 1.5924094e-03 9.1367720e-06 1.8674637e-05
 5.2665028e-04 3.9770445e-03]",[9.9919462e-01 2.3226505e-05 4.6435696e-05 7.3584606e-04],[9.9983925e-01 1.6071733e-04],"[2.1723147e-06 2.9367682e-06 5.8833954e-05 2.7934990e-03 6.8486251e-02
 4.0272933e-01 4.8581159e-01 3.8897220e-02 1.2181418e-03]"
fbhm_faces/54917_face1.png,White,White,Male,50-59,"[0.8417095  0.00093104 0.05647967 0.0042539  0.00546344 0.04767542
 0.04348707]",[0.5699979  0.00687328 0.347095   0.07603376],[9.9999958e-01 4.6827816e-07],"[7.8551911e-06 1.8582670e-05 2.2711819e-04 2.7464393e-03 2.1228723e-02
 1.9156858e-01 7.1931475e-01 6.4131066e-02 7.5684860e-04]"
fbhm_faces/71459_face0.png,East Asian,Asian,Male,20-29,"[0.05985235 0.01240702 0.17174917 0.61379325 0.06850047 0.00889397
 0.06480375]",[0.42233455 0.01020393 0.5435696  0.02389186],[0.98152804 0.01847196],"[4.9820585e-05 1.2055011e-02 2.1797210e-01 6.7874789e-01 8.4671944e-02
 6.3180085e-03 1.6886118e-04 1.5497575e-05 8.5216709e-07]"
fbhm_faces/59621_face1.png,Black,Black,Male,30-39,"[5.8680821e-06 9.9893063e-01 8.5879961e-05 6.9004562e-07 1.0286271e-05
 9.5698843e-04 9.6734138e-06]",[4.1763410e-06 9.9966198e-01 7.8903404e-06 3.2594154e-04],[9.9995029e-01 4.9760856e-05],"[1.16583166e-07 6.04741558e-07 3.32945143e-04 1.17513493e-01
 5.08932114e-01 3.27114075e-01 4.48205993e-02 1.22894242e-03
 5.70773773e-05]"
fbhm_faces/87425_face3.png,Middle Eastern,White,Male,20-29,"[0.33877203 0.03164401 0.06503485 0.01018819 0.01080149 0.0143527
 0.52920675]",[0.6054322  0.05580429 0.2739255  0.06483804],[0.88519883 0.11480115],"[0.00101221 0.00418463 0.01739803 0.47166595 0.2786342  0.10538565
 0.05518046 0.04574914 0.02078976]"
fbhm_faces/16785_face0.png,White,Asian,Male,3-9,"[9.0873265e-01 2.4903627e-04 3.2989688e-02 3.8509987e-02 8.6550470e-03
 3.5431969e-04 1.0509331e-02]",[0.36388922 0.0032182  0.63021463 0.00267797],[0.9606946  0.03930535],"[9.3145326e-02 8.9331812e-01 1.3072359e-02 2.0639990e-04 1.7250371e-04
 6.2856816e-05 1.7308834e-05 3.6493798e-06 1.4690768e-06]"
fbhm_faces/16543_face1.png,White,White,Female,20-29,"[0.55216455 0.01691549 0.17943783 0.04609444 0.04339071 0.03123251
 0.13076453]",[0.70671016 0.03297868 0.06257564 0.19773552],[0.21997724 0.78002274],"[3.1193038e-05 3.6026582e-03 4.7106929e-02 6.3877225e-01 2.7514917e-01
 3.2769129e-02 2.3366299e-03 2.1189458e-04 2.0189256e-05]"
fbhm_faces/54621_face1.png,Black,Black,Male,3-9,"[2.4060102e-04 9.2217511e-01 2.1082835e-02 3.0224584e-04 4.1947588e-03
 5.0622672e-02 1.3817233e-03]",[2.758171e-04 9.103051e-01 8.590278e-03 8.082879e-02],[0.890037   0.10996305],"[2.9419411e-05 5.6008399e-01 4.3931907e-01 5.4847996e-04 1.7378006e-05
 1.6224303e-06 7.6100463e-08 1.5727224e-08 1.7370400e-09]"
fbhm_faces/27436_face1.png,White,White,Female,70+,"[9.9496382e-01 1.1010602e-06 2.0528275e-03 1.9566411e-04 1.6951284e-05
 2.7830788e-06 2.7667726e-03]",[9.2475414e-01 6.5975335e-05 7.5043619e-02 1.3618582e-04],[9.3039434e-04 9.9906957e-01],"[5.0322756e-06 8.7296401e-05 1.3176745e-04 1.8641773e-05 1.4565811e-04
 4.1594440e-03 7.7890165e-02 3.5797548e-01 5.5958647e-01]"
fbhm_faces/36049_face0.png,White,White,Male,30-39,"[9.8353684e-01 3.5167584e-04 2.1279049e-03 4.4514032e-05 1.9149598e-05
 2.8992578e-04 1.3629910e-02]",[9.9766099e-01 3.2017121e-04 4.4455577e-04 1.5742363e-03],[9.9980408e-01 1.9594573e-04],"[2.4492285e-06 2.0652835e-06 1.7763241e-04 9.1082767e-02 4.9662918e-01
 2.9846013e-01 1.0347688e-01 9.1050807e-03 1.0637416e-03]"
fbhm_faces/93071_face0.png,Latino_Hispanic,White,Female,20-29,"[4.4847229e-01 4.0802575e-04 4.6212488e-01 4.5375965e-04 1.0215581e-03
 7.1264423e-02 1.6255049e-02]",[8.3065367e-01 3.6332174e-04 2.5628766e-03 1.6642010e-01],[4.7954065e-05 9.9995208e-01],"[1.13030524e-07 1.52459852e-05 1.35377031e-02 7.90217876e-01
 1.92933127e-01 3.25059262e-03 4.42883866e-05 1.06737048e-06
 9.80421788e-09]"
